Entity,Code,Year,Employment (food and beverage serving activities) per 1000 people
Angola,AGO,2007,1.7088726
Angola,AGO,2008,2.238432
Angola,AGO,2009,2.413088
Angola,AGO,2010,2.3937054
Angola,AGO,2011,2.526555
Angola,AGO,2012,2.6091084
Angola,AGO,2013,2.8624303
Angola,AGO,2014,3.6300046
Angola,AGO,2015,3.6974196
Angola,AGO,2016,3.6014724
Angola,AGO,2017,3.5089307
Angola,AGO,2018,5.4039297
Angola,AGO,2019,1.7123291
Angola,AGO,2020,0.5504287
Angola,AGO,2021,0.42604032
Argentina,ARG,2010,11.209212
Argentina,ARG,2011,10.902986
Argentina,ARG,2012,10.998188
Argentina,ARG,2013,11.680119
Argentina,ARG,2014,11.110576
Argentina,ARG,2016,11.117064
Argentina,ARG,2017,11.4716425
Argentina,ARG,2018,11.664857
Argentina,ARG,2019,11.384852
Australia,AUS,2005,28.76798
Australia,AUS,2006,27.312216
Australia,AUS,2007,28.3234
Australia,AUS,2008,28.586388
Australia,AUS,2009,29.467846
Australia,AUS,2010,7.616092
Australia,AUS,2011,7.7738404
Australia,AUS,2012,7.7477183
Australia,AUS,2013,7.8877497
Australia,AUS,2014,7.055943
Australia,AUS,2015,7.6153727
Australia,AUS,2016,7.9063616
Australia,AUS,2017,8.230876
Australia,AUS,2018,8.515075
Australia,AUS,2019,8.522245
Australia,AUS,2020,8.017124
Australia,AUS,2021,7.653998
Austria,AUT,2003,8.84225
Austria,AUT,2004,9.0684185
Austria,AUT,2005,9.322923
Austria,AUT,2007,9.596466
Austria,AUT,2008,10.659605
Austria,AUT,2009,9.936546
Austria,AUT,2010,10.415135
Austria,AUT,2011,10.522927
Austria,AUT,2012,11.305345
Austria,AUT,2013,11.686952
Bahrain,BHR,2012,1.6327224
Bahrain,BHR,2013,1.5851842
Bahrain,BHR,2014,1.5253878
Bahrain,BHR,2015,2.2023892
Bahrain,BHR,2016,1.4187738
Bahrain,BHR,2017,27.456612
Bahrain,BHR,2018,31.59991
Bahrain,BHR,2019,34.13209
Bahrain,BHR,2020,30.457306
Bahrain,BHR,2021,31.436525
Belgium,BEL,2009,6.4569664
Belgium,BEL,2010,6.4203286
Belize,BLZ,2015,14.2129135
Belize,BLZ,2016,15.395002
Belize,BLZ,2017,16.733297
Belize,BLZ,2018,18.061852
Belize,BLZ,2019,18.6069
Belize,BLZ,2020,13.333975
Belize,BLZ,2021,12.498844
Bosnia and Herzegovina,BIH,2011,4.087474
Bosnia and Herzegovina,BIH,2012,3.8918173
Bosnia and Herzegovina,BIH,2013,4.36758
Bosnia and Herzegovina,BIH,2014,5.068509
Bosnia and Herzegovina,BIH,2015,5.2776017
Bosnia and Herzegovina,BIH,2016,8.388431
Bosnia and Herzegovina,BIH,2017,9.15691
Bosnia and Herzegovina,BIH,2018,9.676095
Bosnia and Herzegovina,BIH,2019,10.146642
Bosnia and Herzegovina,BIH,2020,9.673306
Bosnia and Herzegovina,BIH,2021,9.721341
Brazil,BRA,2005,4.186355
Brazil,BRA,2006,4.474086
Brazil,BRA,2007,4.808694
Brazil,BRA,2008,5.1693983
Brazil,BRA,2009,5.369181
Brazil,BRA,2010,5.532878
Brazil,BRA,2011,5.605865
Brazil,BRA,2012,5.5956235
Brazil,BRA,2013,5.0054092
Brazil,BRA,2014,5.3371763
Brazil,BRA,2015,5.519323
Brazil,BRA,2016,5.8058705
Brazil,BRA,2017,5.836734
Brazil,BRA,2018,6.0310535
Brazil,BRA,2019,6.021261
Cameroon,CMR,2008,0.66570514
Cameroon,CMR,2009,0.67290306
Cameroon,CMR,2010,0.80490816
Cameroon,CMR,2011,0.78243893
Cameroon,CMR,2012,0.80826586
Chile,CHL,2005,5.860782
Chile,CHL,2006,5.907715
Chile,CHL,2007,5.419646
Chile,CHL,2008,5.5157223
Chile,CHL,2009,6.326689
Chile,CHL,2010,5.8279834
Chile,CHL,2011,5.974297
Chile,CHL,2012,7.040804
Chile,CHL,2013,7.3158507
Chile,CHL,2014,7.2256017
Chile,CHL,2015,7.565701
Chile,CHL,2016,8.084548
Chile,CHL,2017,8.187894
Comoros,COM,2019,0.63211685
Comoros,COM,2020,0.6202181
Comoros,COM,2021,0.8519629
Congo,COG,2013,3.177251
Congo,COG,2014,3.2963486
Congo,COG,2015,3.337026
Congo,COG,2016,3.316091
Congo,COG,2017,0.6776666
Congo,COG,2018,0.5146055
Costa Rica,CRI,2013,18.63701
Costa Rica,CRI,2014,18.04185
Costa Rica,CRI,2015,18.93676
Costa Rica,CRI,2016,18.138783
Costa Rica,CRI,2017,19.784338
Costa Rica,CRI,2018,19.719336
Costa Rica,CRI,2019,20.277206
Costa Rica,CRI,2020,17.450348
Costa Rica,CRI,2021,19.589407
Cote d'Ivoire,CIV,2016,2.5109835
Cote d'Ivoire,CIV,2017,2.5917554
Cote d'Ivoire,CIV,2018,2.5260856
Cote d'Ivoire,CIV,2019,2.5853288
Croatia,HRV,2006,3.5539966
Croatia,HRV,2007,3.9041734
Croatia,HRV,2008,4.233367
Croatia,HRV,2009,3.742462
Croatia,HRV,2010,3.822665
Croatia,HRV,2011,3.952353
Croatia,HRV,2012,4.270947
Croatia,HRV,2013,4.5951896
Croatia,HRV,2014,5.718997
Croatia,HRV,2015,5.6171575
Croatia,HRV,2016,7.623561
Croatia,HRV,2017,8.372157
Croatia,HRV,2018,9.301793
Croatia,HRV,2019,9.927964
Croatia,HRV,2020,9.324187
Croatia,HRV,2021,9.728731
Cyprus,CYP,2003,14.2649355
Cyprus,CYP,2004,14.921153
Cyprus,CYP,2005,15.563076
Cyprus,CYP,2006,16.239595
Cyprus,CYP,2007,16.808289
Cyprus,CYP,2008,18.27807
Cyprus,CYP,2009,18.516102
Cyprus,CYP,2010,18.399689
Cyprus,CYP,2011,16.968098
Cyprus,CYP,2012,15.995767
Cyprus,CYP,2013,14.481924
Cyprus,CYP,2014,16.057816
Cyprus,CYP,2015,17.013592
Cyprus,CYP,2016,18.36564
Cyprus,CYP,2017,19.77614
Czechia,CZE,2003,6.284032
Czechia,CZE,2004,6.467399
Czechia,CZE,2005,6.5245333
Czechia,CZE,2006,6.1897235
Czechia,CZE,2007,6.383288
Czechia,CZE,2008,6.380766
Czechia,CZE,2009,6.505837
Czechia,CZE,2010,6.796246
Czechia,CZE,2011,6.640385
Czechia,CZE,2012,6.640621
Czechia,CZE,2013,6.572179
Czechia,CZE,2014,6.242908
Czechia,CZE,2015,6.290503
Czechia,CZE,2016,6.449723
Czechia,CZE,2017,6.7702847
Czechia,CZE,2018,6.780515
Czechia,CZE,2019,6.614864
Czechia,CZE,2020,6.522678
Denmark,DNK,2006,15.134129
Denmark,DNK,2007,15.874528
Denmark,DNK,2008,14.374625
Denmark,DNK,2009,13.842508
Denmark,DNK,2010,13.961825
Denmark,DNK,2011,14.97485
Denmark,DNK,2012,15.836585
Denmark,DNK,2013,16.247753
Denmark,DNK,2014,17.752636
Denmark,DNK,2015,18.80325
Denmark,DNK,2016,19.929537
Denmark,DNK,2017,20.525036
Denmark,DNK,2018,20.877491
Denmark,DNK,2019,21.308243
Denmark,DNK,2020,18.09244
Denmark,DNK,2021,22.291513
Djibouti,DJI,2021,0.5020071
Dominican Republic,DOM,2017,4.526992
Dominican Republic,DOM,2018,4.858097
Dominican Republic,DOM,2019,5.412665
Dominican Republic,DOM,2020,4.2001266
Dominican Republic,DOM,2021,6.970758
Ecuador,ECU,1995,2.3288996
