Entity,Code,Day,Monthly CO2 emissions from international aviation,Monthly CO2 emissions from domestic aviation,Monthly CO2 total emissions from aviation
Afghanistan,AFG,2019-01-15,10805.4,2098.05,12903.45
Afghanistan,AFG,2019-02-15,10430.7,2979.15,13409.85
Afghanistan,AFG,2019-03-15,12223.3,1964.36,14187.66
Afghanistan,AFG,2019-04-15,14301.5,3614.57,17916.07
Afghanistan,AFG,2019-05-15,13695.1,3009.41,16704.51
Afghanistan,AFG,2019-06-15,11645.4,1901.39,13546.79
Afghanistan,AFG,2019-07-15,15923.6,835.966,16759.566
Afghanistan,AFG,2019-08-15,13764.9,587.448,14352.349
Afghanistan,AFG,2019-09-15,15367.4,247.246,15614.646
Afghanistan,AFG,2019-10-15,13787.4,547.405,14334.806
Afghanistan,AFG,2019-11-15,12585.8,25.0257,12610.825
Afghanistan,AFG,2019-12-15,13493,37.8337,13530.834
Afghanistan,AFG,2020-01-15,13383.1,70.5439,13453.644
Afghanistan,AFG,2020-02-15,13038.1,11.6808,13049.78
Afghanistan,AFG,2020-03-15,8949.07,245.382,9194.452
Afghanistan,AFG,2020-04-15,708.468,200.361,908.829
Afghanistan,AFG,2020-05-15,898.473,86.4354,984.90845
Afghanistan,AFG,2020-06-15,1769.47,243.416,2012.886
Afghanistan,AFG,2020-07-15,4687.61,792.061,5479.671
Afghanistan,AFG,2020-08-15,4963.21,1107.38,6070.59
Afghanistan,AFG,2020-09-15,7840.74,1095.39,8936.13
Afghanistan,AFG,2020-10-15,6575.67,1384.85,7960.52
Afghanistan,AFG,2020-11-15,6863.51,1157.79,8021.3
Afghanistan,AFG,2020-12-15,5873.22,711.929,6585.1494
Afghanistan,AFG,2021-01-15,7141.24,555.006,7696.246
Afghanistan,AFG,2021-02-15,7467.49,617.532,8085.0225
Afghanistan,AFG,2021-03-15,9723.9,752.811,10476.711
Afghanistan,AFG,2021-04-15,8555.69,542.169,9097.859
Afghanistan,AFG,2021-05-15,8677.99,734.51,9412.5
Afghanistan,AFG,2021-06-15,9166.1,414.579,9580.679
Afghanistan,AFG,2021-07-15,8020.38,347.893,8368.272
Afghanistan,AFG,2021-08-15,4015.52,40.2122,4055.7322
Afghanistan,AFG,2021-09-15,8.08642,,
Afghanistan,AFG,2021-10-15,57.2185,,
Afghanistan,AFG,2021-11-15,1152.58,,
Afghanistan,AFG,2021-12-15,1477.32,14.2943,1491.6143
Afghanistan,AFG,2022-01-15,928.301,,
Afghanistan,AFG,2022-02-15,1195.97,,
Afghanistan,AFG,2022-03-15,2106.53,,
Afghanistan,AFG,2022-04-15,2488.32,,
Afghanistan,AFG,2022-05-15,3186.3,,
Afghanistan,AFG,2022-06-15,2065.38,11.3745,2076.7544
Afghanistan,AFG,2022-07-15,3553.56,18.7106,3572.2708
Afghanistan,AFG,2022-08-15,3703.31,44.7373,3748.0474
Afghanistan,AFG,2022-09-15,3676.36,5.53703,3681.8972
Afghanistan,AFG,2022-10-15,3717.18,22.6319,3739.8118
Afghanistan,AFG,2022-11-15,3439.2,20.9156,3460.1155
Afghanistan,AFG,2022-12-15,4159.41,35.1141,4194.5244
Afghanistan,AFG,2023-01-15,3998.89,24.9573,4023.8472
Afghanistan,AFG,2023-02-15,2781.69,87.4304,2869.1204
Afghanistan,AFG,2023-03-15,3222.12,51.0908,3273.211
Africa,,2019-01-15,1901615.4,167718.73,2069334.1
Africa,,2019-02-15,1655850.5,161181.28,1817031.8
Africa,,2019-03-15,1695219.1,191738.9,1886958
Africa,,2019-04-15,1756937,216940.8,1973877.8
Africa,,2019-05-15,1769861.9,208806.28,1978668.1
Africa,,2019-06-15,1854768.8,215481.38,2070250.1
Africa,,2019-07-15,2059260.2,217056.3,2276316.5
Africa,,2019-08-15,2100430.5,229014.47,2329445
Africa,,2019-09-15,1891962,230122.33,2122084.2
Africa,,2019-10-15,1852903.8,242524.25,2095428
Africa,,2019-11-15,1797725,226981.19,2024706.2
Africa,,2019-12-15,2033093.2,243297.31,2276390.5
Africa,,2020-01-15,1975711.9,238635.89,2214347.8
Africa,,2020-02-15,1745153.8,227754.97,1972908.8
Africa,,2020-03-15,1193672.8,176283.98,1369956.8
Africa,,2020-04-15,141281,10404.043,151685.05
Africa,,2020-05-15,181272.17,7773.376,189045.55
Africa,,2020-06-15,248859.48,16616.838,265476.3
Africa,,2020-07-15,372127.2,40082.934,412210.12
Africa,,2020-08-15,475182.97,56157.78,531340.75
Africa,,2020-09-15,537855.25,69999.516,607854.75
Africa,,2020-10-15,670137.8,174667.56,844805.4
Africa,,2020-11-15,713013.8,212148.95,925162.75
Africa,,2020-12-15,838325.1,245627.72,1083952.9
Africa,,2021-01-15,786998.9,163781.53,950780.4
Africa,,2021-02-15,680746.9,143170,823916.9
Africa,,2021-03-15,758811.94,201464.45,960276.4
Africa,,2021-04-15,760528.1,228463.58,988991.7
Africa,,2021-05-15,781908.7,246228.66,1028137.4
Africa,,2021-06-15,877110.25,235404.1,1112514.4
Africa,,2021-07-15,1054513.6,232553.38,1287067
Africa,,2021-08-15,1090111.2,279494.25,1369605.5
