Entity,Code,Year,Per capita CO₂ emissions from domestic aviation
Afghanistan,AFG,2015,1.4994823
Afghanistan,AFG,2016,1.4704407
Afghanistan,AFG,2017,1.9002204
Afghanistan,AFG,2018,1.8182884
Afghanistan,AFG,2019,0.472548
Afghanistan,AFG,2020,0.18236649
Afghanistan,AFG,2021,0.10022604
Africa,,2015,190.33566
Africa,,2016,205.63426
Africa,,2017,230.86903
Africa,,2018,214.28267
Africa,,2019,70.027115
Africa,,2020,2214.223
Africa,,2021,9636.368
Algeria,DZA,2015,4.006399
Algeria,DZA,2016,4.837722
Algeria,DZA,2017,5.0042543
Algeria,DZA,2018,4.797654
Algeria,DZA,2019,2.1976929
Algeria,DZA,2020,0.577987
Algeria,DZA,2021,2.280413
Angola,AGO,2015,2.629976
Angola,AGO,2016,2.7702174
Angola,AGO,2017,2.8403163
Angola,AGO,2018,2.8417523
Angola,AGO,2019,2.1925294
Angola,AGO,2020,0.47785586
Angola,AGO,2021,0.265515
Antigua and Barbuda,ATG,2015,0.84067655
Antigua and Barbuda,ATG,2016,0.6620404
Antigua and Barbuda,ATG,2019,1.0238693
Antigua and Barbuda,ATG,2021,1.8373468
Argentina,ARG,2015,33.40013
Argentina,ARG,2016,33.14996
Argentina,ARG,2017,35.836964
Argentina,ARG,2018,39.2311
Argentina,ARG,2019,32.972244
Argentina,ARG,2020,8.440929
Argentina,ARG,2021,18.14475
Armenia,ARM,2016,0.0032229167
Armenia,ARM,2019,0.00042070422
Armenia,ARM,2021,0.004025015
Asia,,2015,646.16614
Asia,,2016,672.16766
Asia,,2017,710.5351
Asia,,2018,677.6594
Asia,,2019,748.69556
Asia,,2020,452.47388
Asia,,2021,1020.3978
Australia,AUS,2015,306.58426
Australia,AUS,2016,304.67014
Australia,AUS,2017,295.84146
Australia,AUS,2018,290.11105
Australia,AUS,2019,309.98138
Australia,AUS,2020,153.71219
Australia,AUS,2021,197.2143
Austria,AUT,2015,3.7522285
Austria,AUT,2016,3.4690285
Austria,AUT,2017,3.318426
Austria,AUT,2018,3.2110574
Austria,AUT,2019,3.1978824
Austria,AUT,2020,1.7126714
Austria,AUT,2021,4.165808
Azerbaijan,AZE,2015,0.4903825
Azerbaijan,AZE,2016,0.3369089
Azerbaijan,AZE,2017,0.14680393
Azerbaijan,AZE,2018,0.2809525
Azerbaijan,AZE,2019,0.37149113
Azerbaijan,AZE,2020,0.08696832
Azerbaijan,AZE,2021,0.047408745
Bahrain,BHR,2020,0.18246092
Bahrain,BHR,2021,1.5274394
Bangladesh,BGD,2015,0.48816925
Bangladesh,BGD,2016,0.60347944
Bangladesh,BGD,2017,0.67829454
Bangladesh,BGD,2018,0.9037958
Bangladesh,BGD,2019,0.35812923
Bangladesh,BGD,2020,0.9602085
Bangladesh,BGD,2021,2.056907
Barbados,BRB,2019,0.69341135
Barbados,BRB,2020,0.014453091
Barbados,BRB,2021,0.008204933
Belarus,BLR,2015,0.012161027
Belarus,BLR,2016,0.013747852
Belarus,BLR,2017,0.0020716258
Belarus,BLR,2019,0.008328999
Belarus,BLR,2020,0.026184728
Belarus,BLR,2021,0.09341751
Belgium,BEL,2015,0.052916545
Belgium,BEL,2016,0.030973874
Belgium,BEL,2017,0.0023491557
Belgium,BEL,2019,0.048297524
Belgium,BEL,2020,0.4565516
Belgium,BEL,2021,2.3593247
Belize,BLZ,2015,60.250484
Belize,BLZ,2016,60.761925
Belize,BLZ,2017,73.184166
Belize,BLZ,2018,67.301796
Belize,BLZ,2020,0.48788524
Belize,BLZ,2021,6.5673923
Benin,BEN,2018,0.0026934184
Bhutan,BTN,2016,0.32640287
Bhutan,BTN,2017,1.1667157
Bhutan,BTN,2018,1.5656241
Bhutan,BTN,2019,4.42449
Bhutan,BTN,2020,5.2731996
Bhutan,BTN,2021,2.523717
Bolivia,BOL,2015,25.549227
Bolivia,BOL,2016,31.625547
Bolivia,BOL,2017,30.29278
Bolivia,BOL,2018,28.12882
Bolivia,BOL,2019,8.706821
Bolivia,BOL,2020,5.950862
Bolivia,BOL,2021,10.143571
Bosnia and Herzegovina,BIH,2015,0.092652865
Bosnia and Herzegovina,BIH,2019,0.0028078316
Bosnia and Herzegovina,BIH,2020,0.010812588
Bosnia and Herzegovina,BIH,2021,0.036860872
Botswana,BWA,2015,2.99246
Botswana,BWA,2016,2.9373708
Botswana,BWA,2017,2.4175541
Botswana,BWA,2018,2.4873638
Botswana,BWA,2019,2.008933
Botswana,BWA,2020,1.3451204
Botswana,BWA,2021,1.4277607
Brazil,BRA,2015,48.005463
Brazil,BRA,2016,43.48939
Brazil,BRA,2017,43.5819
Brazil,BRA,2018,44.697712
Brazil,BRA,2019,39.965508
Brazil,BRA,2020,22.633883
Brazil,BRA,2021,33.36414
Bulgaria,BGR,2015,1.8498242
Bulgaria,BGR,2016,1.8056927
