Entity,Code,Year,Same Day/Overnight visitors
Albania,ALB,2007,0.06120527
Albania,ALB,2008,0.06655975
Albania,ALB,2009,0.037405025
Albania,ALB,2010,0.023733456
Albania,ALB,2011,0.027136492
Albania,ALB,2012,0.02249683
Albania,ALB,2013,0.07700385
Albania,ALB,2014,0.03801257
Albania,ALB,2015,0.04281184
Albania,ALB,2016,0.12457003
Albania,ALB,2017,0.06310575
Albania,ALB,2018,0.10992509
Albania,ALB,2019,0.045365535
Albania,ALB,2020,0.020737328
Albania,ALB,2021,0.031550318
American Samoa,ASM,2010,0.74458873
American Samoa,ASM,2011,0.82743365
American Samoa,ASM,2012,1.221239
American Samoa,ASM,2013,1.3701923
American Samoa,ASM,2014,1.3888888
American Samoa,ASM,2015,1.320197
American Samoa,ASM,2016,0.90547264
American Samoa,ASM,2017,1.115
American Samoa,ASM,2018,1.5643564
American Samoa,ASM,2019,2.0520833
Andorra,AND,1999,3.0144866
Andorra,AND,2000,2.7270262
Andorra,AND,2001,2.2283845
Andorra,AND,2002,2.3974018
Andorra,AND,2003,2.6969407
Andorra,AND,2004,3.1805804
Andorra,AND,2005,3.569479
Andorra,AND,2006,3.8212843
Andorra,AND,2007,3.9077203
Andorra,AND,2008,3.9504614
Andorra,AND,2009,3.979235
Andorra,AND,2010,3.7295353
Andorra,AND,2011,2.5606601
Andorra,AND,2012,2.5303843
Andorra,AND,2013,2.2972507
Andorra,AND,2014,2.299196
Andorra,AND,2015,1.9478033
Andorra,AND,2016,1.8467542
Andorra,AND,2017,1.7146187
Andorra,AND,2018,1.7376726
Andorra,AND,2019,1.6650486
Andorra,AND,2020,1.7815171
Andorra,AND,2021,1.7819395
Anguilla,AIA,1995,1.7435898
Anguilla,AIA,1996,1.3243244
Anguilla,AIA,1997,1.6511627
Anguilla,AIA,1998,1.5909091
Anguilla,AIA,1999,1.2765957
Anguilla,AIA,2000,1.5454545
Anguilla,AIA,2001,1.1875
Anguilla,AIA,2002,1.5227273
Anguilla,AIA,2003,1.3191489
Anguilla,AIA,2004,1.2407408
Anguilla,AIA,2005,1.3064516
Anguilla,AIA,2006,1.2876712
Anguilla,AIA,2007,1.1025641
Anguilla,AIA,2008,0.88235295
Anguilla,AIA,2009,0.9310345
Anguilla,AIA,2010,0.9032258
Anguilla,AIA,2011,0.8787879
Anguilla,AIA,2012,0.9846154
Anguilla,AIA,2013,1.1884058
Anguilla,AIA,2014,1.4929577
Anguilla,AIA,2015,1.5479453
Anguilla,AIA,2016,1.227848
Anguilla,AIA,2017,1.2064421
Anguilla,AIA,2018,0.6
Anguilla,AIA,2019,0.7473684
Anguilla,AIA,2020,0.61811024
Anguilla,AIA,2021,0.01056338
Antigua and Barbuda,ATG,1995,1.0318182
Antigua and Barbuda,ATG,1996,1.1842105
Antigua and Barbuda,ATG,1997,1.1916667
Antigua and Barbuda,ATG,1998,1.4358975
Antigua and Barbuda,ATG,1999,1.4137931
Antigua and Barbuda,ATG,2000,2.0628018
Antigua and Barbuda,ATG,2001,1.9023256
Antigua and Barbuda,ATG,2002,1.4220183
Antigua and Barbuda,ATG,2003,1.6066946
Antigua and Barbuda,ATG,2004,2.1260164
Antigua and Barbuda,ATG,2005,1.9061224
Antigua and Barbuda,ATG,2006,2.2992127
Antigua and Barbuda,ATG,2007,2.5687022
Antigua and Barbuda,ATG,2008,2.244361
Antigua and Barbuda,ATG,2009,3.034188
Antigua and Barbuda,ATG,2010,2.426087
Antigua and Barbuda,ATG,2011,2.5165975
Antigua and Barbuda,ATG,2012,2.3157895
Antigua and Barbuda,ATG,2013,2.1975307
Antigua and Barbuda,ATG,2014,2.0963855
Antigua and Barbuda,ATG,2015,2.576
Antigua and Barbuda,ATG,2016,2.298113
Antigua and Barbuda,ATG,2017,3.2105262
Antigua and Barbuda,ATG,2018,2.9553905
Antigua and Barbuda,ATG,2019,2.4385383
Antigua and Barbuda,ATG,2020,1.208
Antigua and Barbuda,ATG,2021,0.47579694
Argentina,ARG,2016,0.49760047
Argentina,ARG,2017,0.48472658
Argentina,ARG,2018,0.49726304
Argentina,ARG,2019,0.5043925
Argentina,ARG,2020,0.48181817
Argentina,ARG,2021,0.54882157
Aruba,ABW,1995,0.47334412
Aruba,ABW,1996,0.4929797
Aruba,ABW,1997,0.45692307
Aruba,ABW,1998,0.40030912
Aruba,ABW,1999,0.42313322
Aruba,ABW,2000,0.6796116
Aruba,ABW,2001,0.7047757
Aruba,ABW,2002,0.9051322
Aruba,ABW,2003,0.84423673
