Entity,Code,Year,Domestic trips (tourists) per 1000 people
Argentina,ARG,2006,524.5098
Argentina,ARG,2012,1262.6702
Argentina,ARG,2013,1266.4117
Argentina,ARG,2014,1173.8727
Argentina,ARG,2015,1051.4121
Argentina,ARG,2016,993.83453
Argentina,ARG,2017,1167.5962
Argentina,ARG,2018,1024.4161
Argentina,ARG,2019,1013.487
Argentina,ARG,2020,432.2317
Argentina,ARG,2021,668.44403
Armenia,ARM,2008,149.8278
Armenia,ARM,2009,147.08363
Armenia,ARM,2010,191.7662
Armenia,ARM,2011,166.95209
Armenia,ARM,2012,176.70706
Armenia,ARM,2013,230.92412
Armenia,ARM,2014,297.58435
Armenia,ARM,2015,302.57785
Armenia,ARM,2016,341.95895
Armenia,ARM,2017,381.14554
Armenia,ARM,2018,384.97293
Armenia,ARM,2019,547.755
Armenia,ARM,2020,372.46802
Armenia,ARM,2021,571.844
Australia,AUS,1999,3881.784
Australia,AUS,2000,3879.0159
Australia,AUS,2001,3874.9187
Australia,AUS,2002,3868.3308
Australia,AUS,2003,3737.2957
Australia,AUS,2004,3729.0227
Australia,AUS,2005,3466.435
Australia,AUS,2006,3594.268
Australia,AUS,2007,3574.7012
Australia,AUS,2008,3388.9976
Australia,AUS,2009,3124.0625
Australia,AUS,2010,3147.1218
Australia,AUS,2011,3215.7668
Australia,AUS,2012,3276.4797
Australia,AUS,2013,3279.5386
Australia,AUS,2014,3599.596
Australia,AUS,2015,3674.3123
Australia,AUS,2016,3750.335
Australia,AUS,2017,4004.988
Australia,AUS,2018,4196.3667
Australia,AUS,2019,4631.7476
Australia,AUS,2020,2824.8481
Australia,AUS,2021,3166.3015
Austria,AUT,2008,1249.8296
Austria,AUT,2009,1339.0964
Austria,AUT,2010,1223.0311
Austria,AUT,2011,1213.7715
Austria,AUT,2012,1300.4113
Austria,AUT,2013,1383.3295
Austria,AUT,2014,1342.8401
Austria,AUT,2015,1282.9736
Austria,AUT,2016,1376.6396
Austria,AUT,2017,1317.8749
Austria,AUT,2018,1403.7639
Austria,AUT,2019,1456.7667
Austria,AUT,2020,1166.0593
Austria,AUT,2021,1205.7719
Azerbaijan,AZE,2018,2066.3828
Azerbaijan,AZE,2019,1981.6743
Azerbaijan,AZE,2020,470.68765
Azerbaijan,AZE,2021,1126.7341
Bahrain,BHR,2016,53.913403
Bahrain,BHR,2017,45.989826
Bahrain,BHR,2018,78.663605
Bahrain,BHR,2019,92.35742
Bahrain,BHR,2020,90.69509
Bahrain,BHR,2021,127.79631
Belarus,BLR,1999,138.5294
Belarus,BLR,2000,167.40622
Belarus,BLR,2001,170.76402
Belarus,BLR,2002,148.48958
Belarus,BLR,2003,163.52269
Belarus,BLR,2004,168.60484
Belarus,BLR,2005,171.31067
Belarus,BLR,2006,174.38504
Belarus,BLR,2007,178.20087
Belarus,BLR,2008,177.1588
Belarus,BLR,2009,167.6623
Belarus,BLR,2010,171.19794
Belarus,BLR,2011,182.13692
Belarus,BLR,2012,195.79617
Belarus,BLR,2013,196.77762
Belarus,BLR,2014,240.5676
Belarus,BLR,2015,229.47012
Belarus,BLR,2016,236.09125
Belarus,BLR,2017,251.54839
Belarus,BLR,2018,271.1547
Belarus,BLR,2019,280.85675
Belarus,BLR,2020,229.92097
Belarus,BLR,2021,302.14532
Belgium,BEL,2009,502.8072
Belgium,BEL,2010,533.3727
Belgium,BEL,2011,558.9763
Belgium,BEL,2012,572.289
Belgium,BEL,2013,582.5316
Belgium,BEL,2014,604.2914
Belgium,BEL,2015,666.05585
Belgium,BEL,2016,682.96466
Belgium,BEL,2017,696.913
Belgium,BEL,2018,737.29553
