Entity,Code,Day,Monthly CO₂ emissions from domestic aviation,Monthly CO₂ emissions from international aviation
Afghanistan,AFG,2019-01-15,2098.05,10805.4
Afghanistan,AFG,2019-02-15,2979.15,10430.7
Afghanistan,AFG,2019-03-15,1964.36,12223.3
Afghanistan,AFG,2019-04-15,3614.57,14301.5
Afghanistan,AFG,2019-05-15,3009.41,13695.1
Afghanistan,AFG,2019-06-15,1901.39,11645.4
Afghanistan,AFG,2019-07-15,835.966,15923.6
Afghanistan,AFG,2019-08-15,587.448,13764.9
Afghanistan,AFG,2019-09-15,247.246,15367.4
Afghanistan,AFG,2019-10-15,547.405,13787.4
Afghanistan,AFG,2019-11-15,25.0257,12585.8
Afghanistan,AFG,2019-12-15,37.8337,13493
Afghanistan,AFG,2020-01-15,70.5439,13383.1
Afghanistan,AFG,2020-02-15,11.6808,13038.1
Afghanistan,AFG,2020-03-15,245.382,8949.07
Afghanistan,AFG,2020-04-15,200.361,708.468
Afghanistan,AFG,2020-05-15,86.4354,898.473
Afghanistan,AFG,2020-06-15,243.416,1769.47
Afghanistan,AFG,2020-07-15,792.061,4687.61
Afghanistan,AFG,2020-08-15,1107.38,4963.21
Afghanistan,AFG,2020-09-15,1095.39,7840.74
Afghanistan,AFG,2020-10-15,1384.85,6575.67
Afghanistan,AFG,2020-11-15,1157.79,6863.51
Afghanistan,AFG,2020-12-15,711.929,5873.22
Afghanistan,AFG,2021-01-15,555.006,7141.24
Afghanistan,AFG,2021-02-15,617.532,7467.49
Afghanistan,AFG,2021-03-15,752.811,9723.9
Afghanistan,AFG,2021-04-15,542.169,8555.69
Afghanistan,AFG,2021-05-15,734.51,8677.99
Afghanistan,AFG,2021-06-15,414.579,9166.1
Afghanistan,AFG,2021-07-15,347.893,8020.38
Afghanistan,AFG,2021-08-15,40.2122,4015.52
Afghanistan,AFG,2021-12-15,14.2943,1477.32
Afghanistan,AFG,2022-06-15,11.3745,2065.38
Afghanistan,AFG,2022-07-15,18.7106,3553.56
Afghanistan,AFG,2022-08-15,44.7373,3703.31
Afghanistan,AFG,2022-09-15,5.53703,3676.36
Afghanistan,AFG,2022-10-15,22.6319,3717.18
Afghanistan,AFG,2022-11-15,20.9156,3439.2
Afghanistan,AFG,2022-12-15,35.1141,4159.41
Afghanistan,AFG,2023-01-15,24.9573,3998.89
Afghanistan,AFG,2023-02-15,87.4304,2781.69
Afghanistan,AFG,2023-03-15,51.0908,3222.12
Afghanistan,AFG,2021-09-15,,8.08642
Afghanistan,AFG,2021-10-15,,57.2185
Afghanistan,AFG,2021-11-15,,1152.58
Afghanistan,AFG,2022-01-15,,928.301
Afghanistan,AFG,2022-02-15,,1195.97
Afghanistan,AFG,2022-03-15,,2106.53
Afghanistan,AFG,2022-04-15,,2488.32
Afghanistan,AFG,2022-05-15,,3186.3
Africa,,2019-01-15,167718.73,1901615.4
Africa,,2019-02-15,161181.28,1655850.5
Africa,,2019-03-15,191738.9,1695219.1
Africa,,2019-04-15,216940.8,1756937
Africa,,2019-05-15,208806.28,1769861.9
Africa,,2019-06-15,215481.38,1854768.8
Africa,,2019-07-15,217056.3,2059260.2
Africa,,2019-08-15,229014.47,2100430.5
Africa,,2019-09-15,230122.33,1891962
Africa,,2019-10-15,242524.25,1852903.8
Africa,,2019-11-15,226981.19,1797725
Africa,,2019-12-15,243297.31,2033093.2
Africa,,2020-01-15,238635.89,1975711.9
Africa,,2020-02-15,227754.97,1745153.8
Africa,,2020-03-15,176283.98,1193672.8
Africa,,2020-04-15,10404.043,141281
Africa,,2020-05-15,7773.376,181272.17
Africa,,2020-06-15,16616.838,248859.48
Africa,,2020-07-15,40082.934,372127.2
Africa,,2020-08-15,56157.78,475182.97
Africa,,2020-09-15,69999.516,537855.25
Africa,,2020-10-15,174667.56,670137.8
Africa,,2020-11-15,212148.95,713013.8
Africa,,2020-12-15,245627.72,838325.1
Africa,,2021-01-15,163781.53,786998.9
Africa,,2021-02-15,143170,680746.9
Africa,,2021-03-15,201464.45,758811.94
Africa,,2021-04-15,228463.58,760528.1
Africa,,2021-05-15,246228.66,781908.7
Africa,,2021-06-15,235404.1,877110.25
Africa,,2021-07-15,232553.38,1054513.6
Africa,,2021-08-15,279494.25,1090111.2
Africa,,2021-09-15,287702.88,1042056.3
Africa,,2021-10-15,328379.62,1134111
Africa,,2021-11-15,347865.2,1187165
Africa,,2021-12-15,370430.7,1164728.2
Africa,,2022-01-15,356508.47,1096699.5
Africa,,2022-02-15,330600.7,1076585.2
Africa,,2022-03-15,389040.84,1289735.9
Africa,,2022-04-15,406263.06,1326438.6
Africa,,2022-05-15,374760.38,1410093.8
