Entity,Code,Year,Million passengers per fatality
World,OWID_WRL,1970,209757.72
World,OWID_WRL,1971,225735.13
World,OWID_WRL,1973,176903.87
World,OWID_WRL,1974,199594.88999999998
World,OWID_WRL,1975,374265.37
World,OWID_WRL,1976,274606.17
World,OWID_WRL,1977,299806.83
World,OWID_WRL,1978,466469.62
World,OWID_WRL,1979,370726.47
World,OWID_WRL,1980,482248.60000000003
World,OWID_WRL,1981,744041.1
World,OWID_WRL,1982,573101.7000000001
World,OWID_WRL,1983,508990.76
World,OWID_WRL,1984,1146182.1
World,OWID_WRL,1985,323501.88
World,OWID_WRL,1986,939347
World,OWID_WRL,1987,687566.94
World,OWID_WRL,1988,557833.9
World,OWID_WRL,1989,554858.27
World,OWID_WRL,1990,1404077.5
World,OWID_WRL,1991,987132.55
World,OWID_WRL,1992,784008.7
World,OWID_WRL,1993,939362.8
World,OWID_WRL,1994,864214
World,OWID_WRL,1995,1101345.4000000001
World,OWID_WRL,1996,722578.5
World,OWID_WRL,1997,1173471.2
World,OWID_WRL,1998,1102978.8
World,OWID_WRL,1999,2264139.4
World,OWID_WRL,2000,1469767.1
World,OWID_WRL,2001,1471315.7
World,OWID_WRL,2002,1519519.0999999999
World,OWID_WRL,2003,2500464.4
World,OWID_WRL,2004,3491119
World,OWID_WRL,2005,1865142.8
World,OWID_WRL,2006,2352342.8000000003
World,OWID_WRL,2007,2861575.6
World,OWID_WRL,2008,4000396.3000000003
World,OWID_WRL,2009,3103073.8000000003
World,OWID_WRL,2010,3162769.3
World,OWID_WRL,2011,5453921.3
World,OWID_WRL,2012,6940180
World,OWID_WRL,2013,11907325
World,OWID_WRL,2014,3358263.7
World,OWID_WRL,2015,6455267.4
World,OWID_WRL,2016,12228059
World,OWID_WRL,2017,90313420
World,OWID_WRL,2018,7644049.6
World,OWID_WRL,2019,15991600
World,OWID_WRL,2020,5744092
